year,age,user1Income,user1AfterDeductionsIncome,user2Income,user1Taxes,user2Taxes,user1AfterTax,user2AfterTax,user1Spending,user2Spending,user1Debts,user2Debts,user1totalSavingsPreStack,user2totalSavingsPreStack,user1totalSavings,user2totalSavings,user1NetWorth,user2NetWorth,user1Explanation,user2Explanation,highlight,,,
2007,18,24000,21840,24000,4381,4814,19619,19186,17657,18610,20000,20000,2000,2000,0,2000,0,0,has the same income as the non-planner,,income,,,
2008,19,24480,22277,24480,4469,4911,20011,19569,18010,18982,20000,20000,4101,2863,1238,2863,2101,863,has the same income as the non-planner,,income,,,
2009,20,24970,22722,24970,4558,5009,20411,19961,18370,19362,20000,20000,6347,3776,2572,3776,4347,1776,has the same income as the non-planner,,income,,,
2010,21,25469,23177,25469,4649,5109,20820,20360,18738,19749,20000,20000,8747,4741,4006,4741,6747,2741,has the same income as the non-planner,,income,,,
2011,22,25978,23640,25978,4742,5211,21236,20767,19113,20144,20000,20000,11308,5761,5546,5761,9308,3761,has the same income as the non-planner,,income,,,
2012,23,35000,31850,35000,6389,7021,28611,27979,25750,27140,20000,20000,14734,7111,7623,7111,16734,9111,has the same income as the non-planner,,income,,,
2013,24,35700,32487,35700,6517,7161,29183,28539,26265,27682,20000,20000,18389,8537,9852,8537,20389,10537,has the same income as the non-planner,,income,,,
2014,25,36414,33137,36414,6647,7305,29767,29109,26790,28236,20000,20000,22285,10043,12242,10043,24285,12043,has the same income as the non-planner,,income,,,
2015,26,37142,33799,37142,6780,7451,30362,29692,27326,28801,20000,20000,26436,11632,14803,11632,28436,13632,has the same income as the non-planner,,income,,,
2016,27,37885,34475,37885,6916,7600,30969,30285,27872,29377,450000,450000,30854,13309,17545,13309,62854,45309,has the same income as the non-planner,,income,,,
2017,28,43000,39130,43000,7849,8659,35151,34341,31635,33311,437657,444032,35912,15215,20697,15215,80255,53183,"contributes to their RRSP's, saving taxes",,taxes,,,
2018,29,43860,39913,43860,8006,8854,35854,35006,32268,33956,424945,437885,41293,17224,24069,17224,98349,61339,"contributes to their RRSP's, saving taxes",,taxes,,,
2019,30,44737,40711,44737,8167,9053,36571,35684,32914,34613,411850,431553,47015,19340,27675,19340,117164,69787,"contributes to their RRSP's, saving taxes",,taxes,,,
2020,31,45632,41525,45632,8330,9256,37302,36375,33572,35284,398363,425032,53096,21569,31527,21569,136732,78537,"contributes to their RRSP's, saving taxes",,taxes,,,debts
2021,32,46545,42356,46545,8513,9464,38032,37081,34229,35969,384472,418315,59554,23915,35639,23915,157082,87600,"contributes to their RRSP's, saving taxes",,taxes,,,investments 
2022,33,52000,47320,52000,9640,10893,42360,41107,38124,39874,370163,411396,66768,26516,40252,26516,178604,97120,"contributes to their RRSP's, saving taxes",,taxes,,,net worth
2023,34,54080,49213,54080,10107,11479,43973,42601,39576,41323,355426,404270,74503,29280,45223,29280,201078,107010,"contributes to their RRSP's, saving taxes",,taxes,,,
2024,35,56243,51181,56243,10662,12089,45581,44154,41023,42829,340246,396930,82787,32218,50569,32218,224541,117288,"contributes to their RRSP's, saving taxes",,taxes,,,
2025,36,58493,53229,58493,11239,12724,47254,45769,42529,44396,324611,389370,91651,35337,56314,35337,249040,127967,"contributes to their RRSP's, saving taxes",,taxes,,,
2026,37,60833,55358,60833,11839,13383,48993,47449,44094,46026,308507,381583,101133,38649,62485,38649,274627,139066,"contributes to their RRSP's, saving taxes",,taxes,,,
2027,38,63266,57572,63266,12464,14070,50802,49196,45722,47720,291919,373562,111270,42162,69108,42162,301351,150600,"spends slightly less, contributing 10% of income to savings",,spending,,,
2028,39,65797,59875,65797,13113,14783,52683,51013,47415,49483,274834,365301,122102,45889,76212,45889,329268,162588,"spends slightly less, contributing 10% of income to savings",,spending,,,
2029,40,68428,62270,68428,13789,15525,54640,52903,49176,51316,257237,356792,133671,49841,83830,49841,358434,175049,"spends slightly less, contributing 10% of income to savings",,spending,,,
2030,41,71166,64761,71166,14491,16297,56675,54868,51007,53222,239111,348028,146022,54030,91992,54030,388911,188002,"spends slightly less, contributing 10% of income to savings",,spending,,,
2031,42,74012,67351,74012,15222,17100,58791,56912,52912,55205,220442,339000,159202,58467,100735,58467,420760,201467,"spends slightly less, contributing 10% of income to savings",,spending,,,
2032,43,76973,70045,76973,15981,17935,60991,59038,54892,57267,201213,329702,173261,63167,110094,63167,454048,215465,"spends slightly less, contributing 10% of income to savings",,spending,,,
2033,44,80052,72847,80052,16771,18803,63280,61248,56952,59411,181407,320125,188252,68144,120108,68144,488846,230019,"spends slightly less, contributing 10% of income to savings",,spending,,,
2034,45,83254,75761,83254,17593,19706,65661,63548,59094,61641,161006,310261,204231,73412,130819,73412,525225,245151,"spends slightly less, contributing 10% of income to savings",,spending,,,
2035,46,86584,78791,86584,18448,20734,68136,65850,61322,63875,139994,300101,221256,78982,142274,78982,563262,260881,"spends slightly less, contributing 10% of income to savings",,spending,,,
2036,47,90047,81943,90047,19336,21807,70711,68240,63640,66193,118351,289636,239390,84871,154519,84871,603039,277235,"spends slightly less, contributing 10% of income to savings",,spending,,,
2037,48,90948,82762,90948,19568,22086,71380,68861,64242,66795,96059,278857,258498,91020,167477,91020,644438,294164,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2038,49,91857,83590,91857,19805,22368,72052,69489,64846,67404,73099,267754,278628,97441,181187,97441,687529,311686,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2039,50,92776,84426,92776,20065,22653,72711,70123,65440,68019,49449,256319,299830,104143,195687,104143,732381,329824,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2040,51,93703,85270,93703,20326,22941,73377,70763,66039,68640,25090,244540,322159,111140,211020,111140,779070,348599,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2041,52,94640,86123,94640,20591,23231,74050,71409,66645,69267,0,232409,345672,118441,227231,118441,827672,368033,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2042,53,95587,86984,95587,20858,23525,74729,72062,67256,69901,0,219913,370429,126062,244367,126062,852429,388149,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2043,54,96543,87854,96543,21127,23834,75415,72709,67874,70528,0,207042,396492,134012,262479,134012,878492,408970,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2044,55,97508,88732,97508,21400,24175,76109,73334,68498,71134,0,193785,423927,142306,281621,142306,905927,430521,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2045,56,98483,89620,98483,21675,24548,76809,73935,69128,71717,0,180131,452805,150956,301849,150956,934805,452825,takes on a mortgage and pays it off in 25 years,takes out a mortgage but refinances to prop up spending,debts,,,
2046,57,99468,90516,99468,21953,24925,77516,74543,69764,72307,0,166067,483196,159976,323220,159976,965196,475909,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2047,58,100463,91421,100463,22233,25306,78230,75157,70407,72902,0,151581,515179,169381,345798,169381,997179,499801,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2048,59,101467,92335,101467,22517,25691,78951,75777,71056,73503,0,136660,548833,179188,369646,179188,1030833,524528,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2049,60,102482,93259,102482,22803,26079,79679,76403,71711,74111,0,121292,584243,189411,394832,189411,1066243,550120,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2050,61,103507,94191,103507,23092,26472,80415,77035,72374,74724,0,105462,621496,200069,421427,200069,1103496,576607,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2051,62,104542,95133,104542,23384,26868,81158,77674,73042,75344,0,89158,660687,211179,449508,211179,1142687,604021,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2052,63,105587,96085,105587,23684,27268,81904,78319,73713,75970,0,72365,701912,222759,479153,222759,1183912,632394,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2053,64,106643,97045,106643,23999,27672,82645,78971,74380,76602,0,55068,745272,234828,510444,234828,1227272,661760,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2054,65,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,37252,730366,245340,485026,245340,1212366,690089,recognizes the value of starting early and contributing every year,doesn’t start early and has to make up for it later,investments,,,
2055,66,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,18901,715759,256273,459486,256273,1197759,719372,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2056,67,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,702232,248961,453271,248961,1184232,730961,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2057,68,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,688299,241430,446869,241430,1170299,723430,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2058,69,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,673948,233673,440275,233673,1155948,715673,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2059,70,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,659166,225683,433483,225683,1141166,707683,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2060,71,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,643941,217453,426488,217453,1125941,699453,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2061,72,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,628259,208977,419282,208977,1110259,690977,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2062,73,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,612107,200246,411861,200246,1094107,682246,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2063,74,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,595470,191254,404217,191254,1077470,673254,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
